Name,GP,MIN,FGA,FG%,EFG%,FTM,FT%,OREB,DREB,AST,STL,BLK,TOV,Target
Reggie Miller*,82,22.4,7.6,48.8,53.3,1.8,80.1,1.2,1.2,1.6,0.7,0.2,1.2,1
Dennis Hopson,61,22.4,9.0,40.4,41.1,2.1,74.0,1.0,1.3,1.9,0.9,0.4,1.9,1
Ken Norman,66,21.7,7.6,48.2,48.7,1.3,51.2,1.5,2.5,1.2,0.7,0.5,1.6,1
Ryan Kelly,59,22.2,6.3,42.3,49.2,1.9,81.5,0.7,3.0,1.6,0.5,0.8,0.8,0
Scottie Pippen*,79,20.9,7.1,46.3,47.2,1.3,57.6,1.5,2.3,2.1,1.1,0.7,1.7,1
Derrick McKey,82,20.8,6.3,49.1,50.0,2.1,77.2,1.4,2.6,1.3,0.8,0.8,1.3,1
Muggsy Bogues,79,20.6,5.4,39.0,38.9,0.7,78.4,0.4,1.3,5.1,1.6,0.0,1.3,1
Tellis Frank,78,20.5,7.2,42.8,43.1,1.9,72.5,1.2,3.0,1.4,0.7,0.3,1.4,1
Ricky Wilson,24,17.5,4.6,39.1,43.5,1.2,72.5,0.1,1.0,2.9,1.0,0.1,1.0,0
Dave Hoppen,39,16.5,4.7,45.9,46.8,1.4,87.1,1.5,3.0,0.8,0.3,0.1,0.9,1
Dallas Comegys,75,15.0,4.8,43.0,43.8,1.4,70.7,0.7,2.2,0.9,0.5,0.9,1.6,0
Mark Acres,79,14.6,2.6,53.2,53.8,0.9,64.0,1.3,2.1,0.5,0.4,0.3,0.7,1
Michael Jackson,58,13.1,2.9,37.4,39.7,0.4,71.9,0.3,0.7,3.1,0.3,0.1,1.0,0
Tony White,49,11.9,5.1,44.6,45.1,0.8,72.2,0.2,0.4,1.2,0.4,0.0,1.0,0
Brad Lohaus,70,10.3,3.5,49.6,48.6,0.7,80.6,0.7,1.3,0.7,0.3,0.6,0.8,1
Milt Wagner,40,9.5,3.7,42.2,44.6,0.7,89.7,0.1,0.6,1.5,0.1,0.1,0.6,0
Chris Dudley,55,9.3,2.5,47.4,48.0,0.7,56.3,1.3,1.3,0.4,0.2,0.3,0.6,1
Clinton Wheeler,59,8.7,2.2,47.0,50.0,0.4,73.5,0.3,0.4,1.7,0.6,0.0,0.9,0
Billy Donovan,44,8.3,2.5,40.4,40.0,0.4,81.0,0.1,0.5,2.0,0.4,0.0,0.9,0
Reggie Lewis,49,8.3,3.9,46.6,46.2,0.8,70.2,0.6,0.7,0.5,0.3,0.3,0.6,1
Martin Nessley,44,7.6,1.2,38.5,41.7,0.2,44.4,0.5,1.3,0.4,0.2,0.3,0.5,0
John Stroeder,41,6.6,1.9,36.7,36.8,0.5,66.7,0.6,1.1,0.5,0.1,0.3,0.6,0
Bart Kofoed,36,6.3,1.3,37.5,42.3,0.2,61.5,0.1,0.3,0.6,0.2,0.0,0.5,1
Ray McCallum,45,19.9,6.7,37.7,41.0,0.7,74.4,0.4,1.4,2.7,0.5,0.2,0.9,0
Ralph Lewis,50,6.2,1.7,31.0,29.4,0.6,60.4,0.3,0.7,0.3,0.3,0.1,0.4,0
Ron Harper,82,37.4,19.7,45.5,46.2,4.7,68.4,2.1,2.7,4.8,2.5,1.0,4.2,1
Chuck Person,82,36.0,16.6,46.8,48.2,2.7,74.7,2.0,6.2,3.6,1.1,0.2,2.6,1
Hot Rod Williams,80,33.9,11.2,48.5,48.2,3.7,74.5,2.8,5.1,1.9,0.7,2.1,1.7,1
Brad Daugherty,80,33.7,11.3,53.8,54.0,3.5,69.6,1.9,6.2,3.8,0.6,0.8,3.1,1
Nate McMillan,71,27.8,4.2,47.5,47.6,1.2,61.7,1.4,3.2,8.2,1.8,0.6,2.2,1
Kenny Walker,68,25.3,8.5,49.1,49.4,2.1,75.7,1.7,3.2,1.1,0.7,0.7,1.1,1
Walter Berry,63,25.2,12.2,53.1,53.3,3.0,64.9,2.2,2.7,1.7,0.6,0.6,2.4,0
John Williams,78,22.7,8.0,45.4,45.6,1.8,64.6,1.7,3.0,2.4,1.6,0.4,1.6,1
Kentavious Caldwell-Pope,80,19.8,5.8,39.6,45.7,0.6,77.0,0.5,1.5,0.7,0.9,0.1,0.3,0
Brad Sellers,80,21.9,7.6,45.5,46.1,1.6,72.8,1.9,2.7,1.3,0.6,0.8,1.1,1
David Wingate,77,20.9,7.8,43.0,44.9,1.9,74.1,0.9,1.1,2.0,1.2,0.3,1.7,1
Johnny Dawkins,81,20.8,9.4,43.7,44.7,1.9,80.1,0.7,1.4,3.6,0.8,0.0,1.5,1
William Bedford,50,19.6,7.2,39.7,38.9,1.0,58.1,1.6,3.3,1.1,0.4,0.7,1.7,1
Jeff Hornacek,80,19.5,4.4,45.4,47.7,1.2,77.7,0.5,1.8,4.5,0.9,0.1,1.9,1
Roy Tarpley,75,18.7,6.7,46.7,46.3,1.3,67.6,2.4,4.7,0.7,0.8,1.1,1.4,1
Mark Price,67,18.2,6.3,40.8,43.7,1.4,83.3,0.5,1.3,3.0,0.6,0.1,1.6,1
John Salley,82,17.8,3.5,56.2,57.1,1.3,61.4,1.3,2.3,0.7,0.5,1.5,0.9,1
Mark Alarie,64,17.3,6.9,49.0,49.3,1.0,66.3,1.1,2.2,1.2,0.3,0.4,0.9,1
Ben Coleman,68,15.1,4.6,58.1,58.7,1.3,72.7,1.5,2.8,0.5,0.5,0.5,1.4,1
Dennis Rodman*,77,15.0,5.1,54.5,54.9,1.0,58.7,2.1,2.2,0.7,0.5,0.6,1.2,1
Larry Krystkowiak,68,14.8,5.5,45.6,45.5,1.6,74.3,1.1,2.4,1.3,0.3,0.2,1.0,1
Kenny Gattison,77,14.3,4.0,47.6,47.5,1.4,63.2,1.1,2.4,0.5,0.3,0.4,1.1,1
Tim Kempton,66,14.2,3.1,47.1,48.4,1.4,69.3,1.1,1.9,0.8,0.6,0.2,0.7,1
Harold Pressley,67,13.6,4.7,42.3,43.6,0.5,72.9,1.0,1.6,1.8,0.6,0.3,0.9,0
Kevin Duckworth,65,13.5,4.2,47.6,47.6,1.4,68.7,1.2,2.3,0.4,0.3,0.3,1.2,1
Anthony Jones,65,13.2,5.0,41.3,41.0,0.8,76.9,0.6,1.0,1.1,0.7,0.3,0.8,0
Mike Brown,62,13.2,3.2,52.7,53.1,0.7,63.9,1.1,2.3,0.4,0.3,0.1,0.9,1
Grant Gondrezick,64,13.1,4.7,45.0,45.7,1.2,70.1,0.7,1.0,1.3,0.4,0.1,0.9,0
Billy Thompson,59,12.9,4.4,54.4,54.5,0.8,64.9,1.2,1.7,1.0,0.3,0.5,1.0,1
Mason Plumlee,70,18.2,4.3,65.9,65.1,1.7,62.6,1.4,3.0,0.9,0.7,0.8,1.1,0
Rafael Addison,62,11.5,5.3,44.1,48.1,0.8,79.7,0.7,1.0,0.7,0.4,0.1,0.9,1
Chris Washburn,35,11.0,4.1,39.3,39.0,0.5,35.3,1.0,1.9,0.5,0.2,0.2,1.1,0
Keith Smith,42,11.0,3.6,38.0,40.3,0.5,75.0,0.3,0.5,1.0,0.6,0.1,0.7,0
Johnny Newman,59,10.7,4.7,41.1,40.4,1.1,86.8,0.6,0.6,0.5,0.3,0.1,0.8,1
Johnny Rogers,45,10.4,4.1,48.6,48.8,0.2,60.0,0.7,1.0,0.6,0.2,0.2,0.4,0
Dell Curry,67,9.5,4.9,42.6,45.9,0.4,78.9,0.4,0.7,0.9,0.4,0.1,0.7,1
Buck Johnson,60,8.7,3.4,46.8,47.1,0.7,69.0,0.6,0.8,0.7,0.3,0.3,0.6,1
Clinton Smith,41,8.3,2.9,42.7,41.4,0.7,75.0,0.6,0.7,1.1,0.3,0.0,0.6,0
Dave Feitl,62,8.0,3.3,43.6,42.4,0.9,74.6,0.6,1.3,0.4,0.1,0.1,0.6,1
Bob Martin,43,6.7,3.1,37.8,40.3,1.0,63.6,0.3,0.7,0.8,0.3,0.1,0.8,0
Bob Martin,53,10.1,1.7,45.5,47.1,0.6,60.8,0.7,1.5,0.3,0.1,0.6,0.6,0
Conner Henry,54,6.0,2.5,33.8,40.0,0.3,63.0,0.1,0.5,0.6,0.2,0.0,0.5,0
Patrick Ewing,50,35.4,16.3,47.4,47.2,4.5,73.9,2.5,6.5,2.0,1.1,2.1,3.4,0
Xavier McDaniel,82,33.0,14.3,49.0,49.0,3.0,68.7,3.7,4.2,2.4,1.2,0.5,3.0,1
Karl Malone*,81,30.6,12.5,49.6,49.6,2.4,48.1,2.1,6.7,2.9,1.3,0.5,3.4,1
Wayman Tisdale,81,28.1,12.4,51.5,51.6,2.0,68.4,2.4,4.9,1.0,0.4,0.5,2.3,1
Benoit Benjamin,79,26.4,8.4,49.0,48.8,2.9,74.6,2.0,5.6,1.0,0.8,2.6,1.8,1
Chris Mullin*,55,25.3,11.3,46.3,46.5,3.4,89.6,0.8,1.3,1.9,1.3,0.4,1.4,1
Gerald Wilkins,81,25.0,11.5,46.8,47.4,1.6,55.7,1.1,1.4,2.0,0.8,0.1,1.9,1
Joe Dumars*,82,23.9,7.3,48.1,48.6,2.3,79.8,0.7,0.7,4.8,0.8,0.1,1.9,1
Cody Zeller,82,17.3,4.9,42.6,42.9,1.8,73.0,1.4,2.9,1.1,0.5,0.5,1.1,0
Charles Oakley,77,23.0,7.0,51.9,51.4,2.3,66.2,3.3,5.3,1.7,0.9,0.4,2.3,1
Jon Koncak,82,20.7,6.3,50.7,50.8,1.9,60.7,2.1,3.6,0.7,0.5,0.8,1.4,1
Keith Lee,58,20.6,6.6,46.6,47.0,1.3,78.1,2.0,4.1,1.2,0.5,0.6,1.3,0
Ed Pinckney,80,20.0,5.7,55.8,56.1,2.1,67.3,1.2,2.7,1.1,0.9,0.5,1.9,1
A.C. Green,82,18.8,4.7,53.9,53.2,1.2,61.1,2.0,2.7,0.7,0.6,0.6,1.2,1
Bob Thornton,71,18.6,3.9,45.6,46.2,1.2,53.1,1.6,2.5,0.6,0.4,0.1,1.2,1
Terry Catledge,64,17.1,6.7,46.9,47.8,1.4,64.7,1.7,2.6,0.3,0.5,0.1,1.1,1
Spud Webb,79,15.6,5.2,48.3,48.1,2.7,78.5,0.3,1.2,4.3,1.0,0.1,2.0,1
Terry Porter,79,15.4,5.7,47.4,49.1,1.6,80.6,0.4,1.0,2.5,1.0,0.0,1.3,1
Marquese Chriss,34,17.1,6.3,42.7,47.6,1.0,59.6,1.1,2.2,0.5,0.5,0.5,1.2,0
Nick Calathes,71,16.5,4.4,45.7,48.9,0.6,61.1,0.3,1.6,2.9,0.9,0.1,1.4,0
Carey Scurry,78,15.0,3.9,47.2,46.2,1.0,61.9,1.2,1.9,1.1,1.0,0.8,1.2,0
Dirk Minniefield,76,14.9,4.6,48.1,48.9,1.0,78.5,0.6,1.2,3.5,0.9,0.0,1.4,0
Joe Kleine,80,14.8,4.3,46.5,46.5,1.2,72.3,1.4,3.3,0.6,0.3,0.4,1.3,1
Alfredrick Hughes,68,12.7,5.5,40.9,40.0,0.7,58.3,0.7,0.9,0.9,0.4,0.1,0.9,0
Ken Johnson,64,12.7,3.3,52.8,54.5,0.6,43.5,1.4,2.4,0.3,0.2,0.3,0.9,0
Pete Williams,53,10.8,2.1,60.4,61.9,0.3,42.5,0.9,1.9,0.3,0.4,0.4,0.4,0
Bill Martin,66,10.5,4.5,48.0,48.9,0.7,85.2,0.6,0.9,0.8,0.3,0.1,0.9,0
Tony Snell,77,16.0,4.4,38.4,46.6,0.4,75.6,0.2,1.4,0.9,0.4,0.2,0.6,0
Fred Cofield,45,10.4,4.1,40.8,42.7,0.3,60.0,0.1,0.9,1.8,0.4,0.1,1.1,0
Dwayne McClain,45,10.2,4.0,38.3,37.5,0.4,51.4,0.3,0.4,1.5,0.8,0.1,0.9,0
John Battle,64,10.0,3.5,45.5,45.7,1.2,72.8,0.2,0.8,1.2,0.4,0.1,0.7,1
Jerry Reynolds,55,9.2,2.9,44.4,44.8,1.1,55.8,0.7,0.8,1.6,0.8,0.3,0.9,1
Steve Harris,57,8.5,4.1,44.2,43.9,0.9,92.6,0.4,0.6,0.9,0.4,0.1,0.6,1
Lorenzo Charles,36,7.6,2.4,55.7,58.3,0.7,66.7,0.4,0.7,0.2,0.1,0.2,0.5,0
Sam Vincent,57,7.6,2.8,36.4,35.7,1.1,92.9,0.2,0.6,1.2,0.3,0.1,0.9,1
Blair Rasmussen,48,6.9,3.1,40.7,41.9,0.6,79.5,0.8,1.3,0.3,0.1,0.2,0.8,1
Phil Pressey,75,15.1,3.4,30.8,35.3,0.4,64.4,0.3,1.1,3.2,0.9,0.1,1.2,0
Michael Jordan*,82,38.3,19.8,51.5,51.8,7.7,84.5,2.0,4.5,5.9,2.4,0.8,3.5,1
Vern Fleming,80,31.1,11.5,47.0,47.0,3.3,76.7,1.9,2.2,3.1,1.2,0.1,2.5,1
Sam Bowie,76,29.2,7.3,53.7,53.4,2.1,71.1,2.7,5.9,2.8,0.7,2.7,2.3,1
Charles Barkley*,82,28.6,9.5,54.5,54.7,3.6,73.3,3.2,5.3,1.9,1.2,1.0,2.5,1
Sam Perkins,82,28.3,9.0,47.1,47.2,2.4,82.0,2.3,5.1,1.6,0.8,0.8,1.2,1
Jay Humphries,80,25.8,7.8,44.6,45.5,1.8,82.9,0.4,1.7,4.4,1.3,0.1,2.1,1
Melvin Turpin,79,24.7,9.0,51.1,51.1,1.4,78.4,2.0,3.8,0.5,0.5,1.1,1.5,1
Otis Thorpe,82,23.4,8.4,60.0,59.5,2.8,62.0,2.3,4.5,1.4,0.4,0.5,2.3,1
Kevin Willis,82,21.8,8.4,46.7,46.4,1.5,65.7,2.2,4.2,0.4,0.4,0.6,1.3,1
Michael Cage,75,21.5,5.3,54.3,54.7,1.3,73.7,1.7,3.5,0.7,0.6,0.4,1.1,1
Alvin Robertson,79,21.3,7.6,49.8,50.7,1.6,73.4,1.5,1.9,3.5,1.6,0.3,2.1,1
Tim McCormick,78,20.3,6.2,55.7,54.8,2.4,71.5,1.9,3.2,1.0,0.2,0.4,1.5,1
Charles Jones,78,20.1,5.8,52.0,51.7,2.3,64.8,1.8,3.3,1.6,0.6,0.8,1.8,0
Charles Jones,29,16.4,4.2,31.7,39.3,0.4,50.0,0.3,1.1,1.4,0.6,0.2,1.0,0
Jeff Turner,72,19.8,5.2,45.4,46.2,1.1,85.9,1.2,1.8,1.5,0.4,0.1,1.3,1
Tony Brown,82,19.3,5.7,46.0,45.6,1.4,67.8,1.8,1.7,1.9,0.7,0.1,1.4,1
Antoine Carr,62,19.3,6.0,52.8,53.3,1.6,78.9,1.3,2.5,1.3,0.5,1.3,1.7,1
Steve Colter,78,18.7,6.1,45.3,48.4,1.3,75.4,0.5,1.4,3.1,1.0,0.1,1.4,1
Ken Bannister,75,18.7,5.9,47.0,47.5,1.2,47.4,1.4,3.0,0.5,0.5,0.5,1.9,1
John Stockton*,82,18.2,4.1,47.1,46.3,1.7,73.6,0.3,1.0,5.1,1.3,0.1,1.8,1
Terence Stansbury,74,17.3,6.2,45.9,46.0,1.4,81.0,0.5,1.0,1.7,0.6,0.2,1.1,0
Othell Wilson,74,17.0,3.9,46.0,46.2,0.7,71.1,0.5,1.3,2.9,1.0,0.2,1.3,0
Eddie Lee Wilkins,54,17.0,4.3,49.8,48.8,1.2,54.1,1.6,3.3,0.3,0.4,0.3,1.2,1
Chuck Aleksinas,74,15.1,4.6,47.8,47.8,0.7,73.3,1.2,2.5,0.5,0.2,0.2,1.0,0
Ron Anderson,36,14.4,5.4,43.1,42.6,1.1,82.0,1.1,1.4,0.9,0.3,0.2,0.9,1
Frank Brickowski,78,14.3,3.9,49.2,48.7,1.1,66.9,1.0,2.4,1.3,0.4,0.2,1.3,1
Ozell Jones,67,13.3,2.7,58.9,59.3,0.5,39.8,1.0,2.6,0.8,0.5,0.8,0.9,0
Devin Durrant,59,12.8,4.6,41.6,41.3,1.2,70.6,0.8,1.3,1.4,0.3,0.2,1.3,0
Jerome Kersey,77,12.4,4.8,47.8,47.9,1.5,64.6,1.2,1.4,0.8,0.6,0.4,0.9,1
Ron Cavenall,53,12.3,1.6,32.6,31.2,0.4,56.4,1.0,2.1,0.4,0.2,0.8,0.8,0
Jim Petersen,60,11.9,2.4,48.6,50.0,0.8,75.8,0.7,1.7,0.5,0.2,0.5,1.2,1
Tony Campbell,56,11.2,4.7,49.6,48.9,1.0,80.0,0.7,0.9,0.4,0.5,0.1,1.2,1
Lancaster Gordon,63,10.8,4.6,38.3,37.0,0.6,75.5,0.4,0.6,1.4,0.5,0.1,1.1,0
Gary Plummer,66,10.6,3.5,39.7,40.0,1.0,70.7,0.8,1.2,0.4,0.2,0.2,0.8,0
Kenny Fields,51,10.5,3.7,44.0,43.2,0.5,75.0,0.8,0.8,0.7,0.2,0.2,0.6,0
Cory Blackwell,60,9.2,4.0,36.7,37.5,0.5,50.9,0.7,0.9,0.4,0.4,0.1,0.7,0
Bernard Thompson,59,9.1,3.6,37.3,36.1,0.7,76.5,0.6,0.7,0.9,0.5,0.2,0.6,1
Peter Thibeaux,51,9.0,3.8,48.2,47.4,0.8,64.2,0.6,0.8,0.3,0.2,0.3,0.7,0
Steve Burtt,47,8.9,4.0,38.3,37.5,1.1,68.8,0.2,0.4,0.4,0.5,0.1,0.7,0
Leon Wood,38,7.1,3.5,37.3,38.6,0.5,69.2,0.1,0.4,1.2,0.2,0.0,0.7,1
Charlie Sitton,43,7.1,2.2,41.5,40.9,0.3,52.0,0.6,0.8,0.6,0.2,0.1,0.4,0
Tom Scheffler,39,6.9,1.3,41.2,38.5,0.3,50.0,0.5,1.5,0.3,0.2,0.3,0.4,0
Willie White,39,6.0,3.2,41.9,42.2,0.5,67.7,0.4,0.5,0.7,0.1,0.1,0.8,0
Rick Carlisle,38,4.7,1.8,38.8,38.9,0.4,88.2,0.2,0.3,0.7,0.1,0.0,0.5,1
Ralph Sampson*,82,32.8,16.7,52.3,52.1,3.5,66.1,3.6,7.6,2.0,0.8,2.4,3.6,1
Steve Stipanovich,81,30.0,10.1,48.0,47.5,2.3,75.3,1.4,5.5,2.1,0.9,0.8,2.0,1
Ennis Whatley,80,27.0,7.0,46.9,47.1,1.8,73.0,0.8,1.7,8.3,1.5,0.2,3.4,1
Rodney McCray,79,26.3,8.5,49.9,49.4,2.3,73.1,2.2,3.5,2.2,0.7,0.7,1.5,1
Anthony Bonner,52,12.8,4.3,35.6,38.4,0.8,63.8,0.9,2.0,0.3,0.4,0.1,0.9,1
Mitchell Wiggins,82,25.9,10.9,44.8,45.4,2.6,74.2,1.7,2.3,2.3,1.3,0.1,1.7,1
Thurl Bailey,81,24.8,7.3,51.2,50.7,1.1,75.2,1.4,4.3,1.6,0.5,1.5,1.3,1
Jeff Malone,81,24.4,11.3,44.4,45.6,1.8,82.6,0.7,1.2,1.9,0.3,0.2,1.4,1
Doc Rivers,81,23.9,6.7,46.2,46.3,3.1,78.5,0.9,1.8,3.9,1.6,0.4,2.1,1
Roy Hinson,80,23.2,4.6,49.6,50.0,0.9,59.0,2.2,4.1,0.9,0.4,1.8,1.4,1
Byron Scott,74,22.1,9.3,48.4,48.9,1.5,80.6,0.7,1.5,2.4,1.1,0.3,1.6,1
Paul Thompson,82,21.1,8.1,46.7,47.5,1.4,77.2,1.5,2.3,1.5,0.8,0.5,0.9,0
Derek Harper,82,20.9,5.5,44.3,43.6,0.8,67.3,0.6,1.5,2.9,1.2,0.3,1.4,1
Fred Roberts,79,19.4,5.1,53.6,52.9,1.8,83.7,1.3,2.6,1.2,0.7,0.5,1.3,1
Rod Foster,80,17.8,7.3,44.8,47.3,1.5,78.7,0.5,1.0,2.2,0.7,0.1,1.4,0
Dewayne Dedmon,31,12.6,2.7,45.8,44.4,0.7,65.6,1.2,2.9,0.2,0.2,0.7,0.6,0
Jon Sundvold,73,17.6,6.7,44.5,45.5,0.9,88.9,0.3,0.9,3.3,0.4,0.0,1.1,1
Clyde Drexler*,82,17.2,6.8,45.1,45.6,1.5,72.8,1.4,1.5,1.9,1.3,0.3,1.5,1
Jim Thomas,72,16.9,5.6,46.4,46.4,1.1,72.7,0.8,1.3,1.8,0.8,0.1,1.0,0
Darrell Walker,82,16.1,6.3,41.7,41.3,2.5,79.1,0.9,1.1,3.5,1.6,0.2,2.4,1
Sidney Lowe,78,15.9,3.3,41.3,42.4,1.4,77.7,0.4,1.2,3.4,1.2,0.1,1.4,0
Dale Ellis,67,15.8,7.4,45.6,47.3,1.3,71.9,1.6,2.1,0.8,0.6,0.1,1.2,1
Darren Daye,75,15.7,5.4,44.1,44.4,1.3,71.4,1.2,1.3,2.3,0.5,0.2,1.3,1
Randy Wittman,78,13.7,4.1,50.3,51.2,0.4,60.9,0.2,0.7,0.9,0.2,0.0,0.4,1
Sidney Green,49,13.6,4.7,43.9,42.6,1.1,71.4,1.2,2.4,0.5,0.4,0.3,1.2,1
Granville Waiters,78,13.3,3.1,51.7,51.6,0.4,60.8,0.8,2.1,0.8,0.3,1.1,0.8,1
C.J. McCollum,38,12.5,4.7,41.6,48.9,0.6,67.6,0.2,1.1,0.7,0.4,0.1,0.9,0
Howard Carter,55,12.5,5.7,45.9,46.5,0.9,77.0,0.7,0.9,1.3,0.3,0.1,0.8,0
Dane Suttle,40,11.7,5.4,50.9,50.0,1.0,85.1,0.5,0.6,1.2,0.5,0.0,0.8,0
Scooter McCray,47,11.1,2.6,38.8,38.5,0.7,70.0,1.0,1.5,0.9,0.2,0.4,0.7,0
Sedale Threatt,45,10.3,3.3,41.9,42.4,0.5,82.1,0.4,0.5,0.9,0.3,0.0,0.7,1
John Paxson,49,9.3,2.8,44.5,44.6,0.3,61.5,0.1,0.6,3.0,0.2,0.0,0.7,1
Leroy Combs,48,9.3,3.4,49.7,50.0,1.2,61.5,0.4,0.8,0.8,0.5,0.4,1.0,0
Larry Micheaux,39,8.5,2.3,54.4,56.5,0.5,53.8,1.0,1.9,0.5,0.5,0.3,0.5,0
Randy Breuer,57,8.3,3.1,38.4,38.7,0.6,69.6,0.8,1.1,0.3,0.2,0.7,0.6,1
Pace Mannion,57,8.2,2.2,39.7,43.2,0.3,78.3,0.4,0.6,0.8,0.4,0.0,0.4,1
Kris Dunn,33,16.9,4.1,37.3,40.2,0.8,62.5,0.4,1.9,2.4,1.0,0.3,1.2,0
Robbie Hummel,53,12.4,3.3,37.9,48.5,0.3,93.8,0.7,1.8,0.4,0.3,0.0,0.2,0
Bruce Kuczenski,15,7.9,2.5,27.0,28.0,0.5,66.7,0.5,1.1,0.5,0.1,0.1,1.0,0
Russell Cross,45,7.9,2.5,57.1,56.0,0.8,41.8,0.8,1.0,0.5,0.3,0.2,0.4,0
Bob Hansen,55,7.6,2.6,44.8,46.2,0.3,64.3,0.2,0.6,0.8,0.3,0.1,0.6,1
Greg Kite,35,5.6,1.9,45.5,47.4,0.1,31.3,0.8,1.0,0.2,0.0,0.1,0.6,1
Terry Cummings,70,36.2,18.7,52.3,52.4,4.2,70.9,4.3,6.3,2.5,1.8,0.9,2.9,1
Clark Kellogg,81,34.1,17.5,47.9,48.0,3.2,74.1,4.2,6.4,2.8,1.7,0.5,2.7,1
Quintin Dailey,76,27.4,13.3,46.6,47.0,2.7,73.0,1.1,2.3,3.7,0.9,0.1,2.7,1
Rod Higgins,82,26.8,8.5,44.8,45.9,2.5,79.2,1.9,2.5,2.1,0.8,0.8,1.6,1
Craig Hodges,76,26.6,9.3,45.2,46.8,1.2,72.3,0.7,0.9,3.6,1.1,0.1,2.1,1
Jeff Withey,58,11.8,2.2,53.5,54.5,0.9,71.2,0.8,1.7,0.4,0.3,0.9,0.3,0
James Worthy*,77,25.6,10.0,57.9,58.0,1.8,62.4,2.0,3.1,1.7,1.2,0.8,2.3,1
Trent Tucker,78,23.5,8.3,46.2,47.0,0.6,67.2,1.0,1.8,2.5,0.7,0.1,0.9,1
Terry Teagle,73,23.4,10.6,42.8,42.9,1.2,69.6,1.0,1.6,2.1,0.7,0.3,1.9,1
Marc Iavaroni,80,20.2,4.4,46.2,45.5,1.0,69.0,1.5,2.7,1.0,0.4,0.6,1.7,1
Ed Nealy,82,20.0,3.0,59.5,60.0,0.9,61.4,2.1,3.8,0.8,0.8,0.1,0.6,1
Rob Williams,74,19.5,6.3,40.8,41.3,1.8,75.3,0.5,1.3,4.9,1.2,0.2,2.5,0
Jerry Eaves,82,19.4,7.0,48.7,48.6,2.4,81.0,0.4,1.1,2.6,0.6,0.0,1.9,0
Paul Pressey,79,19.3,5.9,45.7,45.8,1.3,59.7,1.1,2.5,2.6,1.3,0.6,2.0,1
Brandon Davies,51,11.3,2.5,42.2,44.0,0.7,64.2,0.7,1.4,0.5,0.5,0.2,0.7,0
Lester Conner,75,18.9,4.0,47.9,47.5,1.1,69.9,0.9,2.0,3.4,1.6,0.1,1.3,1
Mark Eaton,81,18.9,4.4,41.4,40.9,0.7,65.6,1.1,4.6,1.4,0.3,3.4,1.7,1
Bill Garnett,75,18.8,4.3,53.3,53.5,1.7,74.1,1.9,3.5,1.4,0.6,0.9,1.1,0
Jeff Taylor,44,17.6,3.6,40.0,41.7,0.7,65.2,0.6,1.2,2.5,0.9,0.3,1.4,0
Jeff Taylor,77,19.6,5.2,43.1,49.0,1.0,72.8,0.7,1.3,0.8,0.6,0.2,0.6,0
Bryan Warrick,43,16.9,4.0,38.0,37.5,1.0,73.7,0.3,1.3,2.9,0.5,0.2,1.6,0
Sleepy Floyd,76,16.4,6.9,42.9,44.2,2.0,83.3,0.7,1.1,1.8,0.8,0.2,1.4,1
Richard Anderson,78,16.3,5.5,40.4,40.9,0.6,69.6,1.4,2.1,1.5,0.7,0.3,1.2,1
Russ Schoene,77,15.9,5.6,47.6,48.2,0.8,73.5,1.2,2.1,0.8,0.3,0.3,1.1,0
John Bagley,68,14.6,5.5,43.2,43.6,0.9,76.2,0.3,1.2,2.5,0.8,0.1,1.7,1
Archie Goodwin,52,10.3,3.2,45.5,48.4,0.7,67.3,0.5,1.2,0.4,0.4,0.2,0.8,0
Cliff Levingston,62,14.2,4.4,48.5,47.7,1.4,57.1,1.7,2.1,0.8,0.4,0.6,1.2,1
LaSalle Thompson,71,13.9,4.0,51.2,52.5,1.3,65.0,1.9,3.4,0.5,0.6,0.9,1.4,1
Bruce Flowers,53,13.2,3.9,53.4,53.8,0.8,77.4,1.3,2.1,0.9,0.4,0.2,0.8,0
Corny Thompson,44,11.8,3.1,31.4,32.3,0.8,78.3,0.9,1.8,0.8,0.3,0.2,0.7,0
Walker Russell,68,11.1,2.7,36.4,37.0,0.7,81.0,0.3,0.8,1.9,0.2,0.0,1.4,1
David Thirdkill,49,10.6,3.5,43.5,42.9,0.9,57.7,0.6,0.9,0.7,0.4,0.1,1.0,1
Dave Batton,54,10.3,3.5,44.5,45.7,0.1,47.1,0.8,1.4,0.5,0.3,0.2,0.5,0
Darren Tillis,52,10.1,3.5,42.0,42.9,0.3,57.1,0.8,1.7,0.3,0.1,0.6,0.4,0
Brook Steppe,62,9.8,2.8,47.7,50.0,1.2,76.0,0.4,0.8,1.1,0.4,0.1,0.9,1
Rory White,65,9.6,3.6,54.3,55.6,1.1,64.2,0.7,0.9,0.5,0.3,0.0,0.8,1
Andre Roberson,40,10.0,1.7,48.5,50.0,0.2,70.0,0.9,1.5,0.4,0.5,0.3,0.5,0
Linton Townes,55,9.4,4.3,44.9,46.5,0.5,73.7,0.5,0.6,0.6,0.3,0.1,0.6,0
Eddie Phillips,48,8.7,2.9,40.6,41.4,0.8,67.8,0.6,1.0,0.6,0.3,0.2,1.0,0
Jim Johnstone,23,8.3,1.3,36.7,38.5,0.4,45.0,0.7,1.3,0.5,0.1,0.3,0.7,0
Jose Slaughter,63,8.2,3.8,37.4,38.2,0.6,64.4,0.5,0.5,0.8,0.6,0.1,0.7,0
